GAMA;RAJ2000;DEJ2000;rPmag;zh;q_zh;G;Sp;ph;umag;gmag;rmag;imag;zmag;Jmag;Kmag;rSmag;Sloan;DR6;SDSS-ID;ZID
   6802;174.00598;+00.72093;18.6368;-2.00000;4;  ;Sp;rd;20.0650;19.1512;18.6489;18.3647;18.0681;       ;       ;18.7373;Sloan;DR6;588848900983816313;G12_Y3_017_187
   6803;174.02165;+00.75488;19.2273;-2.00000;3;  ;Sp;rd;21.8821;20.3373;19.2288;18.7804;18.4809;       ;       ;19.3040;Sloan;DR6;588848900983816322;G12_Y3_037_173
   6804;174.09205;+00.67409;19.3440;-2.00000;4;  ;Sp;rd;20.5870;20.0371;19.3233;18.9898;18.9853;       ;       ;19.2936;Sloan;DR6;588848900983816355;G12_Y3_017_176
   6805;174.02235;+00.70252;19.3086;-2.00000;4;  ;Sp;rd;21.8089;20.6859;19.3253;18.9487;18.6047;       ;       ;19.3784;Sloan;DR6;588848900983816384;G12_Y3_017_185
   6806;174.02281;+00.70594;18.5528; 0.33119;4;12;Sp;rd;20.4775;19.6477;18.5774;18.2327;17.8318;       ;       ;18.5964;Sloan;DR6;588848900983816385;G12_Y1_AN1_238
   6807;174.07693;+00.64402;19.6305;-2.00000;3;  ;Sp;rd;21.0466;21.6251;19.6246;19.0055;18.6813;       ;       ;19.7370;Sloan;DR6;588848900983816396;G12_Y3_037_165
   6808;174.10073;+00.65891;18.8163; 0.22979;4;12;Sp;rd;21.0453;19.9865;18.7670;18.3807;18.1201;       ;       ;18.3005;Sloan;DR6;588848900983816399;G12_Y1_AN1_235
   6809;174.10033;+00.66079;19.4830;-2.00000;3;  ;Sp;rd;21.0071;20.7429;19.3733;19.1328;18.8299;       ;       ;19.3701;Sloan;DR6;588848900983816400;G12_Y3_037_168
   6810;174.10909;+00.80390;19.1182;-2.00000;4;  ;Sp;rd;22.0568;20.4535;19.1050;18.5320;18.1624;       ;       ;19.0098;Sloan;DR6;588848900983816402;G12_Y2_041_164
   6811;174.11102;+00.81715;19.6272;-2.00000;4;  ;Sp;rd;23.1178;21.3142;19.5781;19.0555;18.6175;       ;       ;19.4473;Sloan;DR6;588848900983816410;G12_Y2_041_165
   6812;174.02153;+00.71532;19.5751;-2.00000;4;  ;Sp;rd;22.6999;21.4995;19.5795;18.9150;18.2208;       ;       ;19.5862;Sloan;DR6;588848900983816419;G12_Y3_037_171
   6813;174.06382;+00.64454;19.2453;-2.00000;4;  ;Sp;rd;21.2795;20.3274;19.2348;18.8469;18.6111;       ;       ;19.3732;Sloan;DR6;588848900983816423;G12_Y3_017_177
   6814;174.11271;+00.68961;19.2107;-2.00000;4;  ;Sp;rd;22.4736;20.9278;19.2284;18.5666;18.2224;       ;       ;19.0190;Sloan;DR6;588848900983816431;G12_Y2_041_158
   6815;174.00637;+00.80765;19.1710;-2.00000;4;  ;Sp;rd;20.7910;20.0968;19.1837;19.1411;18.7435;       ;       ;19.5120;Sloan;DR6;588848900983816452;G12_Y3_017_194
   6816;174.01897;+00.66580;19.7938;-2.00000;4;  ;Sp;rd;21.3114;20.2662;19.6080;19.2481;19.1430;       ;       ;19.2673;Sloan;DR6;588848900983816468;G12_Y3_017_182
   6817;174.05770;+00.82894;19.1794;-2.00000;3;  ;Sp;rd;21.7846;20.4262;19.2363;18.8453;18.5917;       ;       ;19.2739;Sloan;DR6;588848900983816492;G12_Y3_033_175
   6819;174.00344;+00.64045;19.4787;-2.00000;4;  ;Sp;rd;       ;21.0878;19.4920;18.9838;18.4554;       ;       ;19.4278;Sloan;DR6;588848900983816608;G12_Y3_017_180
   6820;174.03513;+00.78928;19.5521;-2.00000;3;  ;Sp;rd;22.6341;20.6997;19.5606;19.0294;18.7401;       ;       ;19.6688;Sloan;DR6;588848900983816694;G12_Y3_037_175
   6821;174.15316;+00.81543;14.6617; 0.00375;4;12;Sp;sd;17.1510;15.9761;15.9655;       ;15.7695;       ;       ;16.4810;Sloan;DR6;588848900983881732;G12_Y1_AN1_254
   6826;174.18493;+00.70904;17.6174; 0.07278;5;12;Sp;rd;19.3128;17.9760;17.4871;17.0963;16.8794;       ;       ;17.4340;Sloan;DR6;588848900983881905;79597815109517312
   6827;174.15022;+00.67538;19.0236;-2.00000;4;  ;Sp;rd;       ;20.5078;18.8924;18.3909;17.9965;       ;       ;18.9500;Sloan;DR6;588848900983881956;G12_Y3_017_175
   6828;174.15302;+00.67659;19.6061;-2.00000;4;  ;Sp;rd;21.9094;21.0568;19.5555;18.9804;18.6663;       ;       ;19.4176;Sloan;DR6;588848900983881957;G12_Y1_AD2_245
   6829;174.24137;+00.67197;19.1242;-2.00000;4;  ;Sp;rd;21.0527;20.1230;19.1511;18.8099;18.4767;       ;       ;19.1676;Sloan;DR6;588848900983881971;G12_Y2_041_151
   6830;174.28051;+00.70608;18.9926; 0.11397;4;12;Sp;rd;20.4369;19.3681;18.9745;18.6680;18.5060;       ;       ;19.0116;Sloan;DR6;588848900983882083;G12_Y1_AN1_255
   6831;174.15526;+00.83600;19.6718;-2.00000;4;  ;Sp;rd;20.8564;20.2834;19.4802;19.1869;19.1150;       ;       ;18.9508;Sloan;DR6;588848900983882140;G12_Y2_023_153
   6832;174.17405;+00.71928;19.5905;-2.00000;2;  ;Sp;rd;21.1001;20.7817;19.4828;19.2898;19.1614;       ;       ;19.5482;Sloan;DR6;588848900983882181;G12_Y3_037_166
   6833;174.18351;+00.79953;19.2325;-2.00000;4;  ;Sp;rd;21.3367;20.1156;19.1262;18.7142;18.4620;       ;       ;19.0728;Sloan;DR6;588848900983882213;G12_Y2_041_161
   6834;174.18549;+00.73190;19.7812;-2.00000;4;  ;Sp;rd;24.2358;21.4681;19.9228;19.3616;19.1395;       ;       ;19.9121;Sloan;DR6;588848900983882223;G12_Y2_041_157
   6835;174.20264;+00.83907;19.6882;-2.00000;4;  ;Sp;rd;       ;20.9201;19.7682;19.1914;18.9127;       ;       ;19.8543;Sloan;DR6;588848900983882274;G12_Y3_017_191
   6836;174.21740;+00.78729;19.7128;-2.00000;4;  ;Sp;rd;21.6656;20.7371;19.7406;19.2939;18.7847;       ;       ;19.8437;Sloan;DR6;588848900983882303;G12_Y2_041_159
   6837;174.30279;+00.78998;17.8271; 0.07424;4;12;Sp;rd;19.2660;18.1652;17.6751;17.3597;17.2363;       ;       ;17.8499;Sloan;DR6;588848900983947279;G12_Y1_AN1_260
   6838;174.30555;+00.79033;18.7361;-2.00000;4;  ;Sp;rd;19.9693;18.6150;18.4051;17.7908;17.8824;       ;       ;18.6683;Sloan;DR6;588848900983947281;G12_Y3_017_181
   6839;174.33536;+00.83656;18.3369;-2.00000;4;  ;Sp;rd;20.5025;18.8629;18.3378;18.0101;17.6313;       ;       ;18.3759;Sloan;DR6;588848900983947427;G12_Y3_017_186
   6840;174.34690;+00.69645;18.3318; 0.19309;4;12;Sp;rd;21.0255;19.4298;18.3173;17.8353;17.6854;       ;       ;18.2848;Sloan;DR6;588848900983947431;G12_Y1_AT_252
   6841;174.35890;+00.71899;19.1268;-2.00000;4;  ;Sp;rd;20.2306;19.4755;19.1177;18.8307;18.8103;       ;       ;19.1929;Sloan;DR6;588848900983947437;G12_Y2_023_138
   6842;174.35938;+00.63548;18.5391; 0.09370;4;12;Sp;rd;19.6438;18.8341;18.5356;18.2868;18.3657;18.4689;18.5075;18.6677;Sloan;DR6;588848900983947438;2dF_TGN375Z063
   6843;174.38033;+00.68418;19.7710;-2.00000;4;  ;Sp;rd;20.9523;20.3334;19.7813;19.4990;19.4122;       ;       ;19.7325;Sloan;DR6;588848900983947445;G12_Y1_AD2_259
   6844;174.39603;+00.82077;17.2853; 0.09738;5;12;Sp;rd;19.8425;18.1721;17.2711;16.8378;16.6272;       ;       ;17.2731;Sloan;DR6;588848900983947462;79597815281483776
   6845;174.39962;+00.67831;18.8139; 0.38525;4;12;Sp;rd;20.2462;19.6127;18.8047;18.5545;18.1213;       ;18.6922;18.6696;Sloan;DR6;588848900983947470;G12_Y1_AN1_261
